Symbol,Name,Country,IPO Year,Volume,Sector,Industry
AHG,Akso Health Group ADS,China,2017,12738,Consumer Discretionary,Business Services
AHH,Armada Hoffler Properties Inc. Common Stock,United States,2013,277059,Finance,Real Estate
AHH^A,Armada Hoffler Properties Inc. 6.75% Series A Cumulative Redeemable Perpetual Preferred Stock,United States,,5209,,
AHL^C,Aspen Insurance Holdings Limited 5.95% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Shares,Bermuda,,12340,,
AHL^D,Aspen Insurance Holdings Limited 5.625% Perpetual Non-Cumulative Preference Shares,Bermuda,,9868,,
AHL^E,Aspen Insurance Holdings Limited Depositary Shares each representing a 1/1000th interest in a share of 5.625% Perpetual Non-Cumulative Preference Shares,Bermuda,,9178,,
AHR,American Healthcare REIT Inc. Common Stock,,2024,1037773,Real Estate,Real Estate Investment Trusts
AHT,Ashford Hospitality Trust Inc Common Stock,United States,2003,388406,Real Estate,Real Estate Investment Trusts
AHT^D,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock,United States,,4315,,
AHT^F,Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock,United States,,6572,,
AHT^G,Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock,United States,,6177,,
AHT^H,Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock,United States,,586,,
AHT^I,Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock,United States,,949,,
AI,C3.ai Inc. Class A Common Stock,United States,2020,4636735,Technology,Computer Software: Prepackaged Software
AIF,Apollo Tactical Income Fund Inc. Common Stock,,2013,95913,Finance,Finance Companies
AIG,American International Group Inc. New Common Stock,United States,,3665262,Finance,Life Insurance
AIHS,Senmiao Technology Limited Common Stock,China,2018,3505,Finance,Finance: Consumer Services
AILE,iLearningEngines Inc. Common Stock,United States,2021,260093,Technology,Computer Software: Prepackaged Software
AILEW,iLearningEngines Inc. Warrant,United States,2021,102006,Technology,Computer Software: Prepackaged Software
AIM,AIM ImmunoTech Inc. Common Stock,United States,1997,352628,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AIMBU,Aimfinity Investment Corp. I Subunit,United States,2022,500,Finance,Blank Checks
AIMD,Ainos Inc. Common Stock,United States,,135963,Health Care,Biotechnology: Pharmaceutical Preparations
AIN,Albany International Corporation Common Stock,United States,,78746,Consumer Discretionary,Textiles
AINC,Ashford Inc. (Holding Company) Common Stock,United States,2014,15342,Consumer Discretionary,Professional Services
AIO,Virtus Artificial Intelligence & Technology Opportunities Fund Common Shares of Beneficial Interest,,2019,81319,Finance,Finance/Investors Services
AIP,Arteris Inc. Common Stock,United States,2021,187322,Technology,Semiconductors
AIR,AAR Corp. Common Stock,United States,,150173,Industrials,Aerospace
AIRC,Apartment Income REIT Corp. Common Stock,United States,2020,1979378,Real Estate,Real Estate Investment Trusts
AIRE,reAlpha Tech Corp. Common Stock,United States,,290330,Finance,Real Estate
AIRG,Airgain Inc. Common Stock,United States,2016,42538,Technology,Radio And Television Broadcasting And Communications Equipment
AIRI,Air Industries Group Common Stock,United States,,28683,Industrials,Military/Government/Technical
AIRJ,Montana Technologies Corporation Class A Common Stock,United States,2022,369658,Finance,Blank Checks
AIRJW,Montana Technologies Corporation Warrant,United States,2022,630399,Finance,Blank Checks
AIRS,AirSculpt Technologies Inc. Common Stock,United States,2021,424169,Health Care,Medical/Nursing Services
AIRT,Air T Inc. Common Stock,United States,,34491,Consumer Discretionary,Air Freight/Delivery Services
AIRTP,Air T Inc. Air T Funding Alpha Income Trust Preferred Securities,United States,,724,Consumer Discretionary,Air Freight/Delivery Services
AISP,Airship AI Holdings Inc. Class A Common Stock,United States,2021,348954,Technology,Computer Software: Prepackaged Software
AISPW,Airship AI Holdings Inc. Warrants,United States,2021,196458,Technology,Computer Software: Prepackaged Software
AIT,Applied Industrial Technologies Inc. Common Stock,United States,,236105,Consumer Discretionary,Industrial Specialties
AITR,AI TRANSPORTATION ACQUISITION CORP Ordinary shares,United States,2024,714,,
AITRU,AI TRANSPORTATION ACQUISITION CORP Unit,United States,2023,274,,
AIU,Meta Data Limited ADS,,2018,2289,Real Estate,Other Consumer Services
AIV,Apartment Investment and Management Company Common Stock,United States,1994,700124,Real Estate,Real Estate Investment Trusts
AIXI,XIAO-I Corporation American Depositary Shares,China,2023,160297,Technology,Computer Software: Prepackaged Software
AIZ,Assurant Inc. Common Stock,United States,2004,387910,Finance,Property-Casualty Insurers
AIZN,Assurant Inc. 5.25% Subordinated Notes due 2061,United States,2020,20872,Finance,Property-Casualty Insurers
AJG,Arthur J. Gallagher & Co. Common Stock,United States,,771289,Finance,Specialty Insurers
AJX,Great Ajax Corp. Common Stock,United States,2015,102356,Real Estate,Real Estate Investment Trusts
AKA,a.k.a. Brands Holding Corp. Common Stock,,2021,13439,Consumer Discretionary,Catalog/Specialty Distribution
AKAM,Akamai Technologies Inc. Common Stock,United States,1999,1498246,Consumer Discretionary,Business Services
AKAN,Akanda Corp. Common Shares,United Kingdom,2022,1118472,Health Care, Medicinal Chemicals and Botanical Products 
AKBA,Akebia Therapeutics Inc. Common Stock,United States,2014,2845383,Health Care,Biotechnology: Pharmaceutical Preparations
AKLI,Akili Inc. Common Stock,United States,2021,77003,Health Care,Medical/Dental Instruments
AKO/A,Embotelladora Andina S.A.,Chile,,968,,
AKO/B,Embotelladora Andina S.A.,Chile,,19476,,
AKR,Acadia Realty Trust Common Stock,United States,,1019463,Real Estate,Real Estate Investment Trusts
AKRO,Akero Therapeutics Inc. Common Stock,United States,2019,1007146,Health Care,Biotechnology: Pharmaceutical Preparations
AKTS,Akoustis Technologies Inc. Common Stock,United States,,9116480,Utilities,Telecommunications Equipment
AKTX,Akari Therapeutics plc ADS,United Kingdom,,3722,Health Care,Biotechnology: Pharmaceutical Preparations
AKYA,Akoya BioSciences Inc. Common Stock,United States,2021,1164588,Industrials,Biotechnology: Laboratory Analytical Instruments
AL,Air Lease Corporation Class A Common Stock,United States,2011,644994,Consumer Discretionary,Diversified Commercial Services
AL^A,Air Lease Corporation 6.150% Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series A,United States,,8555,,
ALAB,Astera Labs Inc. Common Stock,United States,2024,2246164,Technology,Semiconductors
ALAR,Alarum Technologies Ltd. American Depositary Share,Israel,2018,670732,Technology,Computer Software: Prepackaged Software
ALB,Albemarle Corporation Common Stock,United States,,2105265,Industrials,Major Chemicals
ALB^A,Albemarle Corporation Depositary Shares each representing a 1/20th of 7.25% Series A Mandatory Convertible Preferred Stock,United States,,16242,,
ALBT,Avalon GloboCare Corp. Common Stock,United States,,1946804,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALC,Alcon Inc. Ordinary Shares,Switzerland,2019,827744,Health Care,Ophthalmic Goods
ALCE,Alternus Clean Energy Inc. Class A Common Stock,United States,2022,309440,Utilities,Power Generation
ALCO,Alico Inc. Common Stock,United States,,66659,,
ALCY,Alchemy Investments Acquisition Corp 1 Class A Ordinary Shares,United States,2023,2005,Finance,Blank Checks
ALCYW,Alchemy Investments Acquisition Corp 1 Warrants,United States,2023,643,Finance,Blank Checks
